trial_id,timestamp,robot_x,robot_y,robot_theta,robot_v,robot_omega,energy_cumulative,clearance,obstacle_density,method,environment
sim_PIEC_001,2.929,0.19003695220515499,0.020724708992995264,-0.15465649557349556,0.14785404198769883,-0.1890851202269778,0.05227419355294559,2.5711193084716797,0.0,PIEC,corridor
sim_PIEC_001,2.979,0.19609248252431818,0.021360875292628177,-0.16221164510834263,0.14709738328723368,-0.18888495661641982,0.05441811783147603,2.5711193084716797,0.0,PIEC,corridor
sim_PIEC_001,3.029,0.20506589386654686,0.02233665998942853,-0.17379251475388682,0.14566422576921131,-0.19245083925779072,0.057696132670624,2.5692238807678223,0.0,PIEC,corridor
sim_PIEC_001,3.079,0.21105849798629722,0.02288822221371499,-0.18133938464668062,0.14486367126292748,-0.1945795982701399,0.059833919678427265,2.5719666481018066,0.0,PIEC,corridor
sim_PIEC_001,3.129,0.2201508184623337,0.023310698589315042,-0.1918238676754898,0.156492902189659,-0.13928297680416438,0.06284196547082299,2.5719666481018066,0.0,PIEC,corridor
sim_PIEC_001,3.179,0.22646356746212473,0.02332483173958406,-0.19815977285707756,0.14891830123442718,-0.17262672118741995,0.06479965593447179,2.584531545639038,0.0,PIEC,corridor
sim_PIEC_001,3.229,0.23546636999266593,0.023669548304496846,-0.2088811206532848,0.14667957558111333,-0.1801628206200846,0.06784711004563382,2.584531545639038,0.0,PIEC,corridor
sim_PIEC_001,3.279,0.2414310192516538,0.023809552336990027,-0.2161044339506779,0.14176756501342153,-0.18873466759480964,0.06988730477775797,2.6040291786193848,0.0,PIEC,corridor
sim_PIEC_001,3.329,0.25027757719334265,0.02414888326448776,-0.2271659255211532,0.14378943768323815,-0.18316792677581148,0.07295232258988295,2.6040291786193848,0.0,PIEC,corridor
sim_PIEC_001,3.379,0.25618383024071767,0.024244664199200388,-0.2343781386452553,0.14196585441084825,-0.17869039850301804,0.07493392236936001,2.6040291786193848,0.0,PIEC,corridor
sim_PIEC_001,3.429,0.2650738000396997,0.024141814405519,-0.24482606314296027,0.14530165094896083,-0.17484231667839042,0.07783654088201757,2.6086008548736572,0.0,PIEC,corridor
sim_PIEC_001,3.479,0.27093411724237193,0.024052396719397275,-0.25189337234046233,0.13961855520097483,-0.18093414303002364,0.07978613476728807,2.6246087551116943,0.0,PIEC,corridor
sim_PIEC_001,3.529,0.27990963840248767,0.02362495792024732,-0.26161937454904555,0.15232767470389358,-0.15559249798135974,0.08258219585631985,2.6246087551116943,0.0,PIEC,corridor
sim_PIEC_001,3.579,0.28581044684923446,0.023316115547397903,-0.2683307480659533,0.1441346248995977,-0.16895089284803663,0.08446897168109885,2.6246087551116943,0.0,PIEC,corridor
sim_PIEC_001,3.629,0.29448853421152105,0.022945604536927636,-0.27879844401778275,0.14100987691257671,-0.17350057434563493,0.08731302992385223,2.6324567794799805,0.0,PIEC,corridor
sim_PIEC_001,3.679,0.3002781377106608,0.022644857402307803,-0.28567865786628727,0.13985549901910693,-0.1749204516116333,0.08919805635397732,2.6324567794799805,0.0,PIEC,corridor
sim_PIEC_001,3.729,0.30889032285423695,0.02200232357024713,-0.2958724221612087,0.14113453295600986,-0.17175905537284966,0.09199152936263068,2.641582727432251,0.0,PIEC,corridor
sim_PIEC_001,3.779,0.314621590457486,0.021536294942480504,-0.30261897561788736,0.14312047014516807,-0.16557147290457988,0.09384850694321935,2.641582727432251,0.0,PIEC,corridor
sim_PIEC_001,3.829,0.3232069530355037,0.020620851384369445,-0.31246824155459796,0.14339904631208686,-0.1597454100954693,0.09653866896308712,2.651638984680176,0.0,PIEC,corridor
sim_PIEC_001,3.879,0.3289108575914634,0.02000155057388637,-0.31898454469605264,0.13862205346566595,-0.17028514776828446,0.098323211007273,2.651638984680176,0.0,PIEC,corridor
sim_PIEC_001,3.929,0.33754754746900417,0.018867676106900245,-0.32838381688634544,0.15709136568804735,-0.12524203618548274,0.10097706110758403,2.657944917678833,0.0,PIEC,corridor
sim_PIEC_001,3.979,0.34383909503840987,0.0170260978315076,-0.3317079180462173,0.16366349626096538,-0.07083119722037322,0.10257807002961926,2.657944917678833,0.0,PIEC,corridor
sim_PIEC_001,4.029,0.35303859723962233,0.015049451682367047,-0.33899342876515687,0.152275433925164,-0.12975278146607028,0.10508042483145573,2.6685900688171387,0.0,PIEC,corridor
sim_PIEC_001,4.079,0.3591475048544528,0.01370472826125483,-0.343690969016212,0.16084291030328476,-0.09365666989614353,0.10666351579318303,2.6685900688171387,0.0,PIEC,corridor
sim_PIEC_001,4.129,0.36833041242869374,0.01092514708544697,-0.34995112392143873,0.17251178403003084,-0.07562701159627953,0.10913458061125651,2.6746668815612793,0.0,PIEC,corridor
sim_PIEC_001,4.179,0.3749072251528418,0.009123066334673118,-0.3532085397584889,0.16850061310517675,-0.0826514302367738,0.11078004898532626,2.6746668815612793,0.0,PIEC,corridor
sim_PIEC_001,4.229,0.38470311429560977,0.0064652150765588156,-0.35899512338911765,0.1690644828445393,-0.10133272289664812,0.11335999257276508,2.6774489879608154,0.0,PIEC,corridor
sim_PIEC_001,4.279,0.3906952349777432,0.00504459803261765,-0.36476312935292265,0.14447248149183511,-0.1601858909604922,0.11519092126498971,2.6774489879608154,0.0,PIEC,corridor
sim_PIEC_001,4.329,0.39994675129009183,0.002872618280140746,-0.3731514028877864,0.16728991486393027,-0.13122511534798423,0.11795181702156998,2.6806092262268066,0.0,PIEC,corridor
sim_PIEC_001,4.38,0.4064291071735946,0.000926937907144892,-0.37781581141239634,0.18221292385857238,-0.07612801684353826,0.11984159669954764,2.6806092262268066,0.0,PIEC,corridor
sim_PIEC_001,4.429,0.4167253467172279,-0.002551710865388762,-0.3834847953363581,0.1845870677848105,-0.08058235415227871,0.12264275858003496,2.694652557373047,0.0,PIEC,corridor
sim_PIEC_001,4.479,0.42421097999344703,-0.00517195793081991,-0.38622105377833993,0.19882741106343158,-0.06676316895413888,0.12474298548633854,2.694652557373047,0.0,PIEC,corridor
sim_PIEC_001,4.529,0.434631830043483,-0.008862970344344787,-0.3920541955675857,0.18182297037911638,-0.12186076660492783,0.12767438972877346,2.7037887573242188,0.0,PIEC,corridor
sim_PIEC_001,4.579,0.4419175049250647,-0.01132795705642007,-0.396616551160996,0.19484894496647465,-0.11224277048748894,0.12990098794927313,2.7037887573242188,0.0,PIEC,corridor
sim_PIEC_001,4.629,0.45303934294472,-0.015127334404431729,-0.40344753319135046,0.20443147622086202,-0.0921842733417517,0.13337805980511266,2.7152891159057617,0.0,PIEC,corridor
sim_PIEC_001,4.679,0.4613108880078817,-0.018302754550691892,-0.40661171386620526,0.22189721164799533,-0.08149551178943523,0.1360187590142247,2.7152891159057617,0.0,PIEC,corridor
sim_PIEC_001,4.729,0.47326272715490375,-0.022935217842475077,-0.41356391069084414,0.20613225716327369,-0.14173221482334464,0.14013715034900995,2.7152891159057617,0.0,PIEC,corridor
sim_PIEC_001,4.779,0.4814524760087279,-0.025833870748947788,-0.41916810920599284,0.2201815798308394,-0.13418382759616043,0.14311117971855644,2.7303245067596436,0.0,PIEC,corridor
sim_PIEC_001,4.829,0.49395886625767105,-0.030575469179529358,-0.4270272873943703,0.220258325442866,-0.14943580519219682,0.14761078765623042,2.7303245067596436,0.0,PIEC,corridor
sim_PIEC_001,4.879,0.5027624228485857,-0.034055905854956686,-0.4313829305743613,0.24211938253177354,-0.0968757324879319,0.1507903744953513,2.7470297813415527,0.0,PIEC,corridor
sim_PIEC_001,4.929,0.5161094748654321,-0.039713282163017775,-0.43739246342604304,0.23057301354438883,-0.13703668790267598,0.1557153883046775,2.7470297813415527,0.0,PIEC,corridor
